Time,url
2012-03-05 16:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_30_05_390__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_42_05_382__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:54:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_54_07_573__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_06_05_565__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_18_05_457__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_30_05_849__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_42_06_640__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_54_05_532__SOHO_LASCO_C3_white-light.jp2
2012-03-05 18:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__18_06_05_423__SOHO_LASCO_C3_white-light.jp2
2012-03-05 18:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__18_18_05_415__SOHO_LASCO_C3_white-light.jp2
2012-03-05 18:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__18_30_05_507__SOHO_LASCO_C3_white-light.jp2
2012-03-05 18:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__18_42_05_398__SOHO_LASCO_C3_white-light.jp2
2012-03-05 18:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__18_54_05_391__SOHO_LASCO_C3_white-light.jp2
2012-03-05 19:06:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__19_06_06_982__SOHO_LASCO_C3_white-light.jp2
2012-03-05 19:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__19_18_06_774__SOHO_LASCO_C3_white-light.jp2
2012-03-05 19:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__19_30_05_865__SOHO_LASCO_C3_white-light.jp2
2012-03-05 19:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__19_42_05_757__SOHO_LASCO_C3_white-light.jp2
